name,overview,popularity,vote_average,vote_count,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,first_air_year,in_production_True
Midsomer Murders,"The peacefulness of the Midsomer community is shattered by violent crimes, suspects are placed under suspicion, and it is up to a veteran DCI and his young sergeant to calmly and diligently eliminate the innocent and ruthlessly pursue the guilty. ",0.2720079329426579,0.7563,0.012156110044785668,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1997.0,True
M*A*S*H,"The 4077th Mobile Army Surgical Hospital is stuck in the middle of the Korean war. With little help from the circumstances they find themselves in, they are forced to make their own fun. Fond of practical jokes and revenge, the doctors, nurses, administrators, and soldiers often find ways of making wartime life bearable.",0.2700098802582741,0.7901,0.02708466624013649,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1972.0,False
Binnelanders,"A South African Afrikaans soap opera. It is set in and around the fictional private hospital, Binneland Kliniek, in Pretoria, and the storyline follows the trials, trauma and tribulations of the staff and patients of the hospital.",0.26732687715365944,0.5599999999999999,0.0030283642567711664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005.0,True
"Plus belle la vie, encore plus belle",,0.2633040562489996,0.30000000000000004,0.00021326508850501172,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2024.0,True
Vikings,"The adventures of Ragnar Lothbrok, the greatest hero of his age. The series tells the sagas of Ragnar's band of Viking brothers and his family, as he rises to become King of the Viking tribes. As well as being a fearless warrior, Ragnar embodies the Norse traditions of devotion to the gods. Legend has it that he was a direct descendant of Odin, the god of war and warriors.",0.26267276140085494,0.809,0.28846235871187886,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2013.0,False
Chicago Med,"An emotional thrill ride through the day-to-day chaos of the city's most explosive hospital and the courageous team of doctors who hold it together. They will tackle unique new cases inspired by topical events, forging fiery relationships in the pulse-pounding pandemonium of the emergency room.",0.2614400302446806,0.8306,0.0472595436127106,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2015.0,True
Rebelde,Six teenagers with different lives and personalities attend a prominent private school with only one thing in common: their vocation and passion for music.,0.2593788929755427,0.8413,0.21834079761143102,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2004.0,False
Oggy and the Cockroaches,"Oggy, an anthropomorphic cat, would prefer to spend his days watching television and eating, but is continuously pestered by three roaches: Joey, Marky and Dee Dee. The cockroaches' slapstick mischief ranges from plundering Oggy's refrigerator to hijacking the train he just boarded. In many situations Oggy is also helped by Jack, who is more violent and short-tempered than him and is also annoyed by the cockroaches. Bob, a short-tempered bulldog, also appears in the show, and is Oggy's neighbor.",0.25040112591391267,0.7400000000000001,0.014118148859031777,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1999.0,False
Robert Montgomery Presents,"Robert Montgomery Presents is an American dramatic television series which was produced by NBC from January 30, 1950 until June 24, 1957. The live show had several sponsors during its seven-year run, and the title was altered to feature the sponsor, usually Lucky Strike cigarettes, for example, Robert Montgomery Presents Your Lucky Strike Theater, ....The Johnson's Wax Program, and so on.",0.24614078369014292,0.4333,0.00017061207080400938,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1950.0,False
Tomorrow Is Ours,"The story revolves around the people of Sète, France. Their lives are punctuated by family rivalries, romance and scenes from daily life, but also by plots involving police investigations, secrets and betrayals.",0.24488043899686981,0.6200000000000001,0.0025165280443591384,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2017.0,True
Egoli: Place of Gold,"A South African television soap opera created by Franz Marx which revolves around the daily ups, downs, trials and tribulations of a handful of families in and around Johannesburg (which is often referred to as eGoli - the City of Gold)",0.24210045176195696,0.7000000000000001,0.00012795905310300704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992.0,False
